greenhouse_id,crop_type,variety,planting_date,harvest_date,days_to_maturity,avg_temperature_C,min_temperature_C,max_temperature_C,humidity_percent,co2_ppm,light_intensity_lux,photoperiod_hours,irrigation_mm,fertilizer_N_kg_ha,fertilizer_P_kg_ha,fertilizer_K_kg_ha,pest_severity,soil_pH,yield_kg_per_m2
5,Cucumber,English,08-01-23,12-03-23,63,23.4,22.1,24.6,81,925,22326,10,6.7,191,90,175,1.3,6.1,10.85
2,Pepper,Bell,25-03-23,25-06-23,92,29.1,27.7,30.6,60.8,861,30800,12.3,6.9,126,65,123,1.1,7.5,11.11
2,Lettuce,Iceberg,08-04-23,20-05-23,42,18,16.3,20,82.4,774,39115,13.2,7.4,116,70,89,2.1,6.1,5.77
1,Lettuce,Butterhead,03-12-23,11-01-24,39,17,15.5,20.1,71.8,793,25126,10,4.2,130,46,144,1.8,6.4,7.18
3,Tomato,Heirloom,30-12-23,20-03-24,81,24.5,22.4,26.8,79.9,952,15542,10,10.3,173,67,198,1.7,6.6,7.73
4,Tomato,Beefsteak,12-10-23,30-12-23,79,26.3,25.2,27.5,67.4,1029,26186,10.5,7.8,240,62,234,1.8,6.4,17.71
3,Tomato,Beefsteak,20-09-23,27-11-23,68,24,22.8,26.6,83.9,779,33958,12,8.8,241,114,185,1.5,7.5,13.82
5,Tomato,Roma,06-05-23,10-07-23,65,24.8,23.3,26.1,62.2,570,40419,14.8,8.6,164,99,197,3.9,,17.04
3,Tomato,Heirloom,21-04-23,02-07-23,72,24,22.4,26.2,65.8,939,35156,14,6,198,104,175,1.9,6.8,25.55
4,Cucumber,Pickling,16-08-23,10-10-23,55,21.1,19.7,22.5,86.6,787,30846,14.2,4.8,136,66,122,,,11.78
3,Lettuce,Leaf,20-03-23,19-04-23,30,18.9,17.6,20.8,61.3,849,26137,11.9,2.5,81,41,90,1.5,6.4,7.76
2,Cucumber,Pickling,10-08-23,17-10-23,68,25,21.9,26.6,87.7,900,37482,14.6,10.7,198,80,141,0.9,6.1,12.75
1,Cucumber,Pickling,21-10-23,25-12-23,65,,,,,,,10,6.7,199,47,138,5.3,,8.85
5,Tomato,Cherry,16-07-23,01-10-23,77,27.2,23.5,30.3,72,731,39257,15.6,6.3,177,90,243,0.7,6.9,22.54
2,Pepper,Jalapeno,04-11-23,20-01-24,77,24.4,21.3,26.7,64.6,714,26679,10,4.7,,,,0.9,6.5,15.34
1,Cucumber,Pickling,08-06-23,12-08-23,65,,,,,,,15.9,11.6,123,77,196,4.3,6.1,7.87
5,Cucumber,Pickling,30-03-23,27-05-23,58,23.3,20.6,25.8,79.6,927,33509,12.6,4.2,181,68,197,4.7,6.2,16.45
3,Cucumber,English,16-12-23,24-02-24,70,26.4,25.1,28.8,69.5,853,13047,10,8.6,155,58,153,4.8,5.7,4.21
2,Tomato,Beefsteak,08-07-23,10-09-23,64,26.4,25.2,27.6,86.6,769,56075,15.8,5.6,187,61,192,1.6,5.6,24.62
5,Pepper,Jalapeno,27-12-23,26-03-24,90,25,23.4,26.3,67.6,862,26926,10,5.8,198,49,169,0.7,5.6,10.49
1,Tomato,Heirloom,12-07-23,04-10-23,84,22.3,21.1,24,91.5,559,46636,15.7,9.9,206,66,152,0.6,5.8,15.98
2,Cucumber,English,28-06-23,29-08-23,62,20.7,18.6,23,78.9,913,39229,16,4.5,148,53,168,2.1,7,13.74
3,Tomato,Cherry,09-04-23,22-06-23,74,23,21.5,26.1,68.3,,32633,13.3,7.8,192,82,162,1.2,5.4,20.41
3,Pepper,Bell,27-09-23,22-12-23,86,26.6,24.5,28.9,66,830,24012,11.5,7.9,143,81,129,2.6,6.4,5.86
2,Lettuce,Romaine,19-09-23,03-11-23,45,16.7,15.2,18.6,70.7,794,25631,12,4.6,119,47,134,1.6,5.6,7.28
1,Cucumber,English,03-02-23,29-03-23,54,20.6,18.3,23.2,69.4,742,27317,10,5.6,150,79,180,0.1,6,13.09
5,Tomato,Heirloom,04-03-23,17-05-23,74,24.1,20.7,26.7,70.6,917,35052,10.8,9.3,242,114,200,0,6.7,18.02
4,Cucumber,English,08-02-23,05-04-23,56,27.2,25.4,28.9,73.5,810,26991,10,4.9,159,44,195,2.2,6,13
5,Lettuce,Iceberg,30-07-23,18-09-23,50,15.8,12.9,18.6,60.8,733,39567,15.1,6.3,118,37,82,2.6,5.4,7.93
2,Cucumber,English,10-06-23,19-08-23,70,21.4,19.1,24.3,73,1045,38517,15.9,8.3,134,42,183,0.8,6.9,11.06
2,Tomato,Roma,12-03-23,04-06-23,84,25.6,24.5,27.8,75.3,884,31503,11.4,5.4,225,87,215,0.9,,25.39
3,Lettuce,Butterhead,01-03-23,01-04-23,31,17.2,15.7,19.5,71.9,860,33738,10.6,5.8,97,33,125,0.4,6,11.03
1,Tomato,Roma,19-12-23,09-03-24,81,26.6,23,28.5,55.1,982,22810,10,6.6,196,114,191,0.4,6.9,15.29
2,Tomato,Heirloom,08-12-23,08-02-24,62,23.7,21.2,26.5,87.9,843,20836,10,7.3,153,106,216,2.3,6.2,16.64
2,Lettuce,Leaf,13-07-23,25-08-23,43,18.3,16.6,19.6,74.4,787,36715,15.7,3.8,112,56,106,4.3,5.6,9.25
4,Cucumber,Slicing,22-04-23,23-06-23,62,20,16.2,23.1,76.9,841,35243,14.1,5,156,60,180,5,7.2,13.95
4,Cucumber,Pickling,02-05-23,01-07-23,60,20.2,18,22.3,83.8,480,44274,14.6,5.5,156,75,194,2.4,7.5,16.17
4,Cucumber,Pickling,24-06-23,19-08-23,56,23.2,21.4,24.4,91.9,705,44901,16,7.3,104,49,153,1.7,6.7,12.09
2,Lettuce,Romaine,04-02-23,20-03-23,44,17.9,16.2,20.1,64.6,759,32572,10,6.4,133,48,128,3,6.5,10.8
2,Tomato,Heirloom,14-09-23,21-11-23,68,23.7,22.2,25.1,77.9,756,34236,12.4,9.9,249,108,162,2,6.3,14.92
3,Pepper,Habanero,15-05-23,12-08-23,89,25.4,23.9,27.1,77.7,719,29507,15.2,8.1,152,56,182,2.6,7.1,7.99
1,Tomato,Heirloom,05-05-23,10-07-23,66,27.1,25.7,28.8,73.6,974,28943,14.8,7.2,241,77,176,5,6.8,14.88
1,Lettuce,Romaine,05-03-23,10-04-23,36,17.8,16.6,19,75.6,904,27299,10.9,5.3,134,60,92,1.4,6.6,10.31
2,Cucumber,Pickling,20-10-23,25-12-23,66,28.6,27.3,30.9,81.1,808,29455,10,11.5,142,88,172,3.3,7.1,9.6
4,Tomato,Roma,03-04-23,20-06-23,78,27.7,25.9,29,77.2,903,27135,12.9,7,226,120,155,1.6,6.7,17.06
1,Lettuce,Leaf,23-12-23,05-02-24,44,13.3,11.5,15.2,78.3,632,19015,10,6.1,137,61,107,3.6,6.9,9.58
4,Lettuce,Romaine,23-03-23,22-04-23,30,18,15.5,20.9,69.1,1097,27721,12.1,4.3,131,49,147,0,6.3,7.3
2,Pepper,Jalapeno,11-01-23,12-04-23,91,25.4,22.5,27.4,66.3,522,9462,10,6,181,74,186,0.7,6.5,8.17
3,Pepper,Habanero,11-02-23,02-05-23,80,24.8,23.4,26.4,76.3,907,15233,10,6.7,153,85,146,0.7,6.8,10.26
3,Tomato,Roma,06-05-23,07-07-23,62,23.9,21.4,26.3,74,926,42072,14.8,5.4,158,87,194,1.8,6.5,23.33
2,Cucumber,English,09-07-23,31-08-23,53,21.9,20.1,23.6,73.6,888,25665,15.8,3.3,192,56,183,2.3,6.8,12.69
4,Tomato,Cherry,13-03-23,12-05-23,60,26.2,24.8,28,61.4,812,24648,11.5,9.2,245,67,184,3.3,6.8,14.73
4,Tomato,Roma,25-06-23,29-08-23,65,27.3,25.7,28.3,78.6,787,29780,16,5.8,243,73,202,1.4,6.6,25.2
3,Lettuce,Leaf,18-04-23,03-06-23,46,18.8,17.4,20.3,85.9,765,25710,13.9,4.1,128,68,98,1.6,5.9,5.56
5,Lettuce,Butterhead,18-12-23,25-01-24,38,15.7,13.6,16.7,73.3,726,17122,10,4.8,,,,3.7,6.3,6.9
5,Cucumber,Pickling,23-10-23,25-12-23,63,25.3,23.3,28.1,75,987,28811,10,10.2,178,79,181,2.3,6.5,7.75
2,Pepper,Bell,27-03-23,13-06-23,78,26.1,24.5,27.1,69.2,681,32101,12.4,7.2,142,67,194,1.5,6.9,6.89
4,Tomato,Beefsteak,07-12-23,17-02-24,72,28.5,26.5,30.1,72,790,34831,10,8.1,,,,0,6.6,14.41
5,Tomato,Cherry,25-07-23,27-09-23,64,25.8,24.7,26.9,73,859,39133,15.3,9.6,245,58,153,3.7,7.2,17.01
5,Cucumber,English,17-01-23,16-03-23,58,27,25.3,28.7,87.2,631,19844,10,11.1,200,52,153,0.3,6.3,7.45
3,Tomato,Cherry,27-04-23,03-07-23,67,23.3,21.6,25.8,69.7,795,35955,14.4,7.4,171,70,235,4.3,6.1,14.76
3,Tomato,Heirloom,25-02-23,30-04-23,64,28.8,27.3,30.3,70,762,29383,10.4,11.8,166,69,160,3.8,7,8.82
5,Pepper,Jalapeno,25-03-23,01-07-23,98,23.4,22.1,24.7,78.6,791,24649,12.3,6.3,182,75,180,0.4,5.8,11.87
5,Pepper,Jalapeno,03-10-23,06-01-24,95,25.1,24,26.5,66.3,566,26753,11.1,10.2,172,49,147,1.9,6.7,8.99
4,Lettuce,Leaf,22-02-23,30-03-23,36,,,,,,,10.2,5,150,37,108,3.7,6.9,6.64
2,Cucumber,English,28-09-23,02-12-23,65,26.1,23.8,28.1,80.4,978,33467,11.4,7.9,166,53,153,1.4,6.9,13.97
3,Cucumber,English,07-12-23,14-02-24,69,17.8,16.7,19.4,95.1,863,15393,10,7,156,42,162,3.4,5.9,8.44
4,Cucumber,English,15-01-23,10-03-23,54,23.4,21.4,24.7,69.4,832,19637,10,7.5,141,81,181,5.6,7.5,11.35
3,Tomato,Roma,03-04-23,23-06-23,81,,,,,,,12.9,10.5,,,,2,7.2,17.92
1,Cucumber,English,01-01-23,05-03-23,63,,,,,,,10,5.5,145,59,130,2.4,5.7,12.63
4,Cucumber,Slicing,02-06-23,22-07-23,50,20.3,18.3,22.3,82.9,881,40242,15.8,8,,,,1.2,7.4,11.36
3,Cucumber,Pickling,27-08-23,30-10-23,64,23.7,22.2,26.6,91.8,724,32046,13.6,4.3,164,61,193,1.4,5.4,14.51
5,Cucumber,Slicing,15-07-23,21-09-23,68,25.2,23.6,26.9,86.5,995,35834,15.6,9.3,121,66,165,1.1,6.3,11.47
3,Tomato,Roma,13-04-23,18-06-23,66,24.8,23.7,26.3,84,626,36286,13.5,10.1,193,114,153,0,,16.29
4,Cucumber,English,27-02-23,24-04-23,56,20.6,18.8,22.4,86.7,636,26043,10.5,2.8,152,52,165,1.6,7.3,12.57
2,Tomato,Roma,30-01-23,16-04-23,76,25.1,23.5,27.3,86.1,846,24624,10,6,175,91,218,2.7,5.9,16.48
5,Tomato,Heirloom,17-01-23,20-03-23,62,25.5,23.6,27.4,67.8,632,22765,10,5.9,222,117,172,0.6,6.3,25.35
4,Cucumber,Pickling,29-11-23,07-02-24,70,20.7,18.3,22.9,82.8,861,20342,10,3.9,195,57,195,0.7,6,14.38
2,Tomato,Roma,30-11-23,13-02-24,75,24.1,22.5,25.5,59.8,719,12013,10,7.5,,,,3.8,5.9,16.01
5,Cucumber,English,17-12-23,20-02-24,65,24.6,23.2,26.5,70.9,911,24949,10,10.7,169,88,145,0.3,6.8,12.32
1,Tomato,Cherry,03-05-23,19-07-23,77,23.2,21.5,24.3,75.5,896,47232,14.7,7.3,201,50,176,0.5,8,21.14
1,Cucumber,English,22-04-23,27-06-23,66,26,24.6,27.5,90.4,526,34747,14.1,6.5,113,89,197,1.3,6.2,13.8
1,Tomato,Heirloom,29-10-23,06-01-24,69,21.5,20.2,23.1,69.6,841,22319,10,4.8,,,,4,6.6,13.52
5,Pepper,Bell,05-03-23,05-06-23,92,28.1,26.1,30.3,65.5,830,30870,10.9,9.6,171,77,173,2.3,5.9,8.05
4,Tomato,Roma,18-09-23,16-12-23,89,24.3,22,25.4,78.5,799,28203,12.1,6.7,229,110,152,3.5,6,16.8
4,Tomato,Heirloom,05-06-23,21-08-23,77,25.4,23.7,26.5,72.2,902,41627,15.9,8,161,79,239,0.7,7.2,16.06
2,Pepper,Jalapeno,17-07-23,09-10-23,84,26.2,24.8,27.7,61.8,920,42349,15.6,7.5,147,82,138,0.3,5,8.76
5,Lettuce,Leaf,25-09-23,02-11-23,38,,,,,,,11.6,6.6,145,35,145,1.1,8,5.24
3,Pepper,Jalapeno,20-09-23,04-12-23,75,25.1,23.7,26.1,71.3,572,37422,12,5.7,134,59,131,2.5,,13.46
3,Cucumber,English,21-08-23,28-10-23,68,22.9,20,25.6,92,614,32364,13.9,9.1,149,71,167,2.7,6.7,9.08
3,Cucumber,Pickling,18-10-23,23-12-23,66,27.2,25,28.4,69.5,680,25236,10.1,9.5,190,90,185,0,6,4.83
3,Cucumber,Slicing,09-06-23,06-08-23,58,23.4,21.9,25.4,78.8,518,35800,15.9,4.5,146,70,144,4.5,7,13.4
1,Tomato,Heirloom,03-03-23,17-05-23,75,26.2,23.9,27.3,72.6,700,24491,10.8,4.7,178,99,180,2.2,6.3,21.84
3,Lettuce,Leaf,27-01-23,16-03-23,48,16.7,15.3,18.5,67.7,645,32508,10,5.6,141,42,121,3.8,6.9,8.28
4,Tomato,Beefsteak,01-12-23,11-02-24,72,23,20.8,24.5,80.6,572,31552,10,7.7,230,102,229,2.7,5.7,13.83
5,Lettuce,Romaine,24-11-23,03-01-24,40,16.2,13.5,18.4,81.7,1109,22286,10,3.9,119,58,119,3.6,6.8,11.73
3,Tomato,Beefsteak,07-12-23,05-03-24,89,26,24.4,28,71.3,896,22483,10,10.4,173,100,229,0.7,7.5,15.8
3,Cucumber,English,27-08-23,25-10-23,59,23.5,21.8,24.5,84.7,1059,38117,13.6,6.3,184,60,199,1.1,6.7,14.29
3,Lettuce,Iceberg,18-10-23,30-11-23,43,17.4,16.1,19.5,76.7,795,30847,10.1,6.5,141,36,84,1.8,5.8,6.86
1,Tomato,Heirloom,10-05-23,29-07-23,80,27.1,24.2,28.7,71.3,953,35109,15,7.6,198,68,183,0.3,6.8,18.27
2,Tomato,Roma,05-10-23,24-12-23,80,27.4,26.2,29.6,72.9,842,21524,10.9,11.2,218,107,162,2.2,6.3,7.8
4,Cucumber,English,19-04-23,10-06-23,52,25.1,23.7,26.6,88.5,468,32363,13.9,8.4,142,94,179,2.7,6.2,10.2
3,Tomato,Cherry,31-07-23,14-10-23,75,22.2,19.7,25.1,70.2,770,31046,15.1,5.7,208,88,221,0.2,,15.72
5,Tomato,Roma,04-07-23,04-09-23,62,24.9,22.1,26.3,76.2,849,41926,15.9,5.3,195,87,235,4.4,6.6,18.42
4,Tomato,Roma,24-07-23,22-10-23,90,22.6,20.8,24.8,67.7,889,32783,15.3,7.1,169,89,224,2.5,7.2,17.8
5,Lettuce,Leaf,20-12-23,23-01-24,34,20.1,18.7,22,78.4,949,13391,10,5.1,100,36,142,1.8,6.7,7.77
1,Tomato,Roma,30-01-23,10-04-23,70,24.6,23,27.2,77.1,584,14615,10,5.5,,,,0.9,7.1,16.79
4,Tomato,Roma,12-01-23,06-04-23,84,28.7,26.8,31.9,81.7,685,27058,10,5.4,196,74,198,1.1,6.4,22.03
1,Pepper,Bell,22-07-23,14-10-23,84,,,,,,,15.4,7.5,,,,0.6,6.3,12.19
1,Cucumber,English,20-11-23,19-01-24,60,22.6,21.1,24.3,76.6,698,16288,10,7.8,189,80,160,0.6,7,7.45
4,Tomato,Roma,09-04-23,18-06-23,70,23.2,20.8,25.6,85.5,925,38230,13.3,7.8,225,96,169,5,6.8,15.75
5,Tomato,Roma,25-10-23,23-01-24,90,26.5,24.4,28.1,68,922,24273,10,5,155,95,227,2,6.3,14.6
2,Tomato,Heirloom,11-09-23,17-11-23,67,25.4,24,28.4,76.4,702,34015,12.6,7.3,214,95,174,2,6.2,17.06
5,Pepper,Habanero,09-07-23,14-10-23,97,27.2,25.8,29.2,61.3,966,38154,15.8,6.1,148,88,190,2.9,6.8,13.14
5,Tomato,Cherry,12-03-23,20-05-23,69,23.7,22.6,25,75.9,1189,30625,11.4,5.8,226,107,217,1.9,,24.11
4,Pepper,Habanero,05-10-23,16-12-23,72,26.7,25.4,28.1,70,943,20535,10.9,9.3,153,85,188,2.8,6.5,4.53
3,Cucumber,English,30-10-23,26-12-23,57,24.1,23,25.4,66.5,904,22188,10,8.1,118,67,188,0,6.3,10.43
4,Tomato,Beefsteak,18-07-23,26-09-23,70,24.6,23.4,26.1,71,978,37293,15.6,7.9,243,61,221,0.3,7.5,20.42
5,Cucumber,English,09-06-23,18-08-23,70,27,25.5,29,84.3,666,41264,15.9,8.8,134,77,125,3.3,6.3,8.78
2,Cucumber,Slicing,25-02-23,05-05-23,69,21.4,20.1,22.8,85.2,666,28391,10.4,3.4,116,99,184,0.4,6.9,10.55
3,Tomato,Beefsteak,21-11-23,22-01-24,62,23.5,22.4,24.7,73.5,992,14339,10,7,179,92,175,1.9,6.7,12.83
4,Lettuce,Iceberg,22-02-23,29-03-23,35,16.4,14.7,18.1,58.2,578,25667,10.2,4.8,120,54,134,0.7,6.3,9.7
5,Cucumber,Slicing,18-09-23,11-11-23,54,27.3,25.5,28.6,87.1,783,29350,12.1,4.4,129,98,190,0.5,6.1,14.11
4,Pepper,Habanero,25-09-23,08-12-23,74,26.5,25.3,27.6,66.3,490,26769,11.6,11.6,179,85,181,0.5,,7.89
3,Lettuce,Romaine,10-10-23,16-11-23,37,16.8,15.1,18.1,62.1,905,25484,10.7,3.9,143,41,107,0.4,6.2,4.96
1,Tomato,Cherry,21-05-23,16-08-23,87,23.5,22,25.2,81.5,643,36083,15.5,4.2,242,54,156,5.6,7,19.05
2,Pepper,Jalapeno,20-05-23,08-08-23,80,26.1,23.7,28,70.7,834,39690,15.4,8.1,186,41,189,0,5.7,12.11
3,Tomato,Cherry,02-10-23,10-12-23,69,24.6,22.6,27.6,79.7,812,31961,11.1,6.4,222,72,190,2.6,5.9,18.57
5,Cucumber,English,03-12-23,25-01-24,53,25.4,23.6,27.6,78.7,895,15320,10,11.1,,,,2.7,5.1,7.3
4,Lettuce,Romaine,12-09-23,25-10-23,43,18,15.7,20.9,65.7,1003,28885,12.5,6.7,97,50,82,2.2,7.5,8.01
5,Tomato,Heirloom,11-03-23,30-05-23,80,24.3,22,26.6,65.3,908,25781,11.3,6.7,229,78,192,1.2,6.7,22.24
1,Cucumber,Pickling,17-01-23,26-03-23,68,19.4,18.3,21,86.3,856,23532,10,6,,,,1.2,6.7,11.38
4,Cucumber,Pickling,17-07-23,21-09-23,66,26.5,24.2,27.7,70.4,833,32629,15.6,6.5,160,72,177,3.5,6.6,13.7
1,Tomato,Cherry,17-12-23,03-03-24,77,24.7,23.2,26.3,78.3,685,10719,10,8,229,83,182,0.9,7.2,15.54
1,Pepper,Jalapeno,06-12-23,19-02-24,75,24.7,23.5,26.4,67.4,788,30324,10,7.8,179,82,192,2,6.9,10.47
1,Cucumber,English,27-03-23,17-05-23,51,25,21.8,27,90.5,657,21802,12.4,6.2,135,88,177,3.4,7.4,8.61
4,Tomato,Beefsteak,10-08-23,30-10-23,81,24.1,22.8,25.6,82.6,1005,40550,14.6,7.9,177,83,217,0,5.9,14.48
4,Lettuce,Butterhead,25-02-23,07-04-23,41,18.3,16.5,19.5,62.4,1048,15853,10.4,9.1,124,65,114,0.1,6.2,2.19
3,Tomato,Heirloom,01-03-23,12-05-23,72,25.7,24,29,93.9,846,33442,10.6,7.3,249,88,177,2.5,6.7,14.36
3,Tomato,Heirloom,23-08-23,03-11-23,72,25.7,23.1,28.9,76.8,694,38819,13.8,7,187,62,244,4.9,7.1,17.51
1,Tomato,Roma,12-12-23,04-03-24,83,25.7,24.7,26.7,77.3,970,24046,10,7.3,249,79,189,0.5,7.4,17.59
4,Tomato,Beefsteak,22-02-23,22-05-23,89,22.8,21.6,26.2,89.2,788,22750,10.2,3.5,237,99,227,2.8,6.7,18.01
1,Pepper,Habanero,21-07-23,26-10-23,97,26.1,24.5,27.8,55.4,699,42892,15.5,10.1,183,44,166,2.1,5.8,8.44
1,Tomato,Beefsteak,19-09-23,16-12-23,88,24.2,22.9,26.7,69.3,956,30732,12,7.2,,,,1.5,6.2,17.93
2,Tomato,Cherry,01-08-23,06-10-23,66,27.5,25.7,29,66,638,31086,15,10.9,191,74,161,3,7.5,10.85
5,Cucumber,Pickling,29-07-23,21-09-23,54,23.9,22.8,25.1,92.5,625,35526,15.1,6.3,102,88,190,2.1,5.8,10.01
2,Tomato,Heirloom,19-11-23,17-02-24,90,23.9,21.2,25.5,69.4,610,23246,10,6.5,221,67,242,1.5,6.1,19.88
4,Pepper,Bell,23-09-23,16-12-23,84,24.3,22.9,25.5,90.2,665,26369,11.8,9.7,198,45,133,,6.2,9.48
2,Cucumber,Slicing,29-06-23,19-08-23,51,24,22.8,25.8,88,696,32227,16,6.6,124,42,163,1.8,7.1,9.58
1,Pepper,Habanero,07-07-23,10-10-23,95,25.3,22.7,28.1,52,849,40385,15.8,8.4,131,85,197,1.3,7.3,7.79
1,Tomato,Heirloom,03-06-23,16-08-23,75,25.8,23.5,28.3,79.2,1009,25400,15.6,6.5,188,51,232,2,6.5,16.23
5,Lettuce,Butterhead,10-06-23,14-07-23,34,13.8,10.5,16.7,72.2,797,40333,15.9,7.2,82,49,148,4.4,7.1,2.11
5,Tomato,Cherry,20-02-23,23-04-23,62,22.3,20.9,23.6,63.1,821,30005,10.1,8,244,77,160,1.9,5.9,15.42
1,Pepper,Bell,13-10-23,18-01-24,97,24.7,21.7,27.7,71.1,869,28814,10.4,8.7,166,74,148,0.1,7.3,13.22
5,Tomato,Heirloom,13-12-23,24-02-24,73,27.3,25.1,28.6,71.2,902,22146,10,7.4,248,70,157,2.1,7,13.85
5,Tomato,Beefsteak,25-05-23,08-08-23,75,25.3,22,27.8,82.4,997,42535,15.6,9.7,239,89,240,2.8,6.8,17.49
4,Tomato,Beefsteak,20-06-23,13-09-23,85,27.9,25.6,29.6,76.3,632,48263,16,7.8,213,107,214,1.3,5.9,19.82
5,Cucumber,English,28-09-23,27-11-23,60,24.9,22.3,27.2,73.1,1070,31395,11.4,7.2,107,78,178,3.4,6.8,14.04
2,Pepper,Jalapeno,12-02-23,28-04-23,75,26.5,25.2,27.9,70.6,765,21476,10,7.1,160,52,173,3.9,6,8.88
2,Cucumber,Pickling,01-06-23,10-08-23,70,24.7,21.9,28.2,69.1,833,40485,15.8,8.9,138,97,132,1,6.5,12.01
1,Cucumber,English,15-10-23,04-12-23,50,25.1,23.2,27.8,80.4,941,29760,10.3,8.5,194,53,149,1.2,7,12.43
2,Cucumber,Slicing,04-01-23,08-03-23,63,22.2,19.9,24.2,86.5,1052,24928,10,7,128,58,150,1.2,6.5,12.15
1,Tomato,Heirloom,03-08-23,04-10-23,62,,,,,,,14.9,4.3,234,52,201,0,6.1,23.99
3,Lettuce,Romaine,08-01-23,10-02-23,33,18.6,17.2,21.2,67.4,465,22666,10,5.6,148,40,126,0.4,6.3,8.82
3,Tomato,Heirloom,02-07-23,10-09-23,70,25.2,24.1,27.3,75,708,27350,15.9,6.9,199,69,238,0,7.1,19.63
1,Cucumber,English,06-08-23,26-09-23,51,21.7,19.6,24.5,84.9,683,46334,14.8,5.8,163,100,135,1.2,6.5,14.49
2,Tomato,Heirloom,26-09-23,24-12-23,89,22.4,20.6,23.9,66.1,917,27506,11.6,3.7,227,98,244,1.4,6.5,16.63
4,Lettuce,Leaf,26-03-23,13-05-23,48,17.2,15.4,18.9,60.5,894,25470,12.3,6.6,147,51,110,0.7,6.7,7.94
4,Pepper,Jalapeno,13-09-23,27-11-23,75,24.3,23.2,25.5,65,892,27486,12.4,9,154,83,162,1.2,6,8.45
2,Tomato,Roma,05-12-23,21-02-24,78,26.5,25.4,27.5,87.7,664,16395,10,8.1,162,56,220,1.2,7.3,11.95
5,Tomato,Cherry,15-01-23,09-04-23,84,26.1,24.8,27.8,75.6,1055,20664,10,5.3,232,112,223,0.7,6.9,19.08
5,Cucumber,English,28-10-23,21-12-23,54,23.6,22.3,25.1,86.5,713,27974,10,6.3,120,52,175,1.1,6.5,12.27
4,Lettuce,Butterhead,03-02-23,08-03-23,33,17.6,15.3,20.1,77.2,715,25641,10,5.9,128,38,135,0,6.6,10.43
3,Lettuce,Leaf,04-12-23,23-01-24,50,18.8,16.6,21.4,80.1,953,18174,10,6.3,,,,2,6.6,3.94
3,Cucumber,Pickling,29-09-23,28-11-23,60,21.1,19.7,22.6,78.4,707,29468,11.3,4.1,188,49,174,1,7.2,12.91
1,Cucumber,English,16-06-23,08-08-23,53,22.6,21.2,24.8,70.6,873,40949,16,9.4,115,87,154,3.1,6.8,7.95
4,Tomato,Beefsteak,24-05-23,15-08-23,83,22.2,19.9,24.1,81.1,777,39281,15.6,8,213,73,168,1.1,7.3,19.26
2,Tomato,Beefsteak,17-08-23,14-11-23,89,25.8,22.6,27,82.6,808,23351,14.2,8.4,168,105,246,2.1,6.2,15.97
2,Tomato,Heirloom,14-04-23,25-06-23,72,21.3,20.2,23,61.8,690,26018,13.6,6.8,213,106,195,2,6.3,19.15
4,Tomato,Cherry,19-03-23,10-06-23,83,27.5,26.3,29.6,73.4,956,24156,11.9,5.1,217,70,210,,6.2,20.92
3,Tomato,Cherry,27-03-23,12-06-23,77,24.2,22.4,26.5,82.9,910,36425,12.4,5.5,201,110,207,5.1,6.4,17.81
4,Tomato,Roma,26-02-23,20-05-23,83,26.9,25.6,28.9,70.9,948,33326,10.5,9.8,224,50,200,1.2,7.1,14.54
1,Cucumber,Slicing,09-09-23,29-10-23,50,24.3,21.6,27.2,84.6,708,32791,12.7,6,125,92,154,2,6.7,9.47
3,Tomato,Cherry,07-02-23,06-05-23,88,28.5,25.8,31.7,66.3,890,34094,10,8.5,166,76,160,1,,12.29
2,Tomato,Beefsteak,12-10-23,20-12-23,69,26,25,27.2,82.3,1083,33788,10.5,11,153,104,187,2.8,6.9,12.83
4,Cucumber,Slicing,30-04-23,09-07-23,70,21.6,19.9,22.6,85.1,859,34740,14.5,7.2,198,85,176,3.8,6.8,8.71
1,Tomato,Roma,11-01-23,20-03-23,68,25.4,22.8,26.8,77.8,998,23539,10,10.5,224,113,172,1.2,6.7,11.35
1,Lettuce,Leaf,03-12-23,14-01-24,42,16.3,15.2,18,78.2,568,23930,10,4.4,93,32,82,0,6,9.91
5,Cucumber,Pickling,04-02-23,09-04-23,64,26.9,25,29.1,93.4,871,24797,10,11.7,193,77,186,2.3,5.7,9.09
1,Tomato,Heirloom,19-09-23,02-12-23,74,22.7,20.5,24.6,68.8,951,29181,12,7.8,212,56,174,0.3,5.8,14.27
1,Tomato,Heirloom,07-02-23,07-05-23,89,26.7,25,28.4,72.4,808,23899,10,6.8,172,110,154,0.7,5.5,13.74
3,Cucumber,Slicing,18-09-23,13-11-23,56,23.6,22.4,24.9,85.2,777,35240,12.1,4,183,74,182,5.1,6.6,9.86
4,Tomato,Beefsteak,26-11-23,27-01-24,62,22.9,20,25.3,70.7,513,28357,10,6.6,224,59,198,0.9,5.9,16.28
3,Cucumber,Pickling,09-08-23,16-10-23,68,24.1,22.7,26,75.2,846,32913,14.6,8.9,,,,3,6.7,7.34
3,Lettuce,Romaine,22-06-23,28-07-23,36,18.5,17.4,20.1,64.1,529,41225,16,4.7,90,35,98,4.1,7,4.32
3,Tomato,Beefsteak,14-12-23,12-03-24,89,24.7,23,25.7,75.3,673,17939,10,6.6,197,57,232,2.6,6.2,15.25
4,Tomato,Cherry,09-09-23,04-12-23,86,27.7,26.1,28.9,76.4,770,28274,12.7,10.2,198,108,249,5.9,7.2,8.19
